FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,REPRSNT_MENU_NM,MENU_PRC,BASE_DE
무진장갈비촌,전라북도 익산시 선화로31길 58,45,45140,126.9560054,35.95056612,전북,무진장한우암소특선모듬 (500g),90000,2021-12-31
진미식당,전라북도 익산시 황등면 황등리 902-2,45,45140,126.9447102,36.00528095,전북,(특)육회 비빈밥,11000,2021-12-31
늘채움,전라북도 전주시 덕진구 덕진연못3길 6,45,45113,127.1206387,35.84656263,전북,늘채움정식,19500,2021-12-31
대일정,전라북도 정읍시 수학정석길 3 대일정,45,45180,126.942973,35.65175987,전북,참게장 정식,20000,2021-12-31
향원복집,제주특별자치도 서귀포시 부두로 43,50,50130,126.5647802,33.24117218,제주,복사시미,120000,2021-12-31
큰댁,충청남도 천안시 서북구 성정중4길 30,44,44133,127.1362593,36.82674402,충남,큰댁정식,35000,2021-12-31
동해루,충청남도 홍성군 홍성읍 아문길29번길 48,44,44800,126.6639045,36.60136685,충남,짜장,4000,2021-12-31
재건갈비,충청북도 청주시 서원구 청남로 2104,44,43110,127.4877995,36.61967532,충북,갈비찜 1인분,12000,2021-12-31
황산옥,충청남도 논산시 강경읍 금백로 34,44,44230,127.0092821,36.15646781,충남,생복찜,80000,2021-12-31
마일드치킨,충청남도 서산시 번화1로 41-1,44,44210,126.4539556,36.78271952,충남,후라이드치킨,15000,2021-12-31
큰마을영양굴밥,충청남도 서산시 부석면 간월도1길 65,44,44210,126.4164478,36.60953879,충남,영양굴밥,12000,2021-12-31
은정갈비,충청남도 아산시 시민로 384,44,44200,127.0008094,36.78280876,충남,돼지갈비(200g),13000,2021-12-31
진주회관,충청남도 천안시 서북구 성환읍 성환11길 15,44,44130,127.1296349,36.91694934,충남,진주불고기,13000,2021-12-31
딴뚝통나무집식당,충청남도 태안군 안면읍 조운막터길 23-22,44,44825,126.3509714,36.5094215,충남,게국지,50000,2021-12-31
서울식당,충청북도 괴산군 괴산읍 읍내로 283-1,43,43760,127.7940349,36.80869564,충북,올갱이 해장국,7000,2021-12-31
금강식당,충청북도 단양군 백자1길 11 금강식당,43,43800,128.4840026,37.04271218,충북,금강 정식,18000,2021-12-31
일미해장국,충청북도 옥천군 금장로 105,43,43730,127.5746088,36.29856667,충북,해제비,6000,2021-12-31
영빈관,충청북도 음성군 음성읍 읍내리 시장로 115번길 5,43,43770,127.6912335,36.93722274,충북,짜장면,5000,2021-12-31
노송식당,충청북도 제천시 내토로43길 5,43,43150,128.2131788,37.12817518,충북,가자미 양념구이,8000,2021-12-31
동원가든,충청북도 제천시 봉양읍 제원로10길 55,43,43150,128.1041157,37.18690934,충북,능이백숙,57000,2021-12-31
송애집,충청북도 진천군 초평면 초평로 1051-5,43,43750,127.5180389,36.81360226,충북,붕어 찜(대),17000,2021-12-31
단골집,충청북도 진천군 초평면 초평로 1053,43,43750,127.5176057,36.81318765,충북,붕어찜(대),17000,2021-12-31
신화당,충청북도 청주시 상당구 대성로22번길 5-1,43,43111,127.4937059,36.62728679,충북,우동,4000,2021-12-31
남주동해장국,충청북도 청주시 상당구 무심동로304번길 10,43,43111,127.4851814,36.629276,충북,해장국(특),9000,2021-12-31
공원당,충청북도 청주시 상당구 상당로55번길 40-2,43,43111,127.4886146,36.63309657,충북,왕새우까스,12000,2021-12-31
남들갈비,충청북도 청주시 서원구 청남로2133번길 8,43,43112,127.4875292,36.62287003,충북,돼지갈비 (600g),24000,2021-12-31
금수장장어구이,충청북도 청주시 서원구 현도면 청남로 16,43,43112,127.4285959,36.45803134,충북,장어구이,27000,2021-12-31
대동관,충청북도 청주시 청원구 내수로 733,43,43710,127.5362814,36.72686357,충북,자장면,3000,2021-12-31
리정,충청북도 청주시 청원구 우암로 71-1,43,43710,127.486687,36.65467587,충북,육개장,8000,2021-12-31
삼미족발,충청북도 청주시 청원구 향군로 35,43,43710,127.4863426,36.64886118,충북,미니족발,25000,2021-12-31
복서울해장국,충청북도 충주시 관아1길 16,43,43130,127.9351081,36.97026545,충북,선지해장국,7000,2021-12-31
대장군식당,충청북도 충주시 수안보면 미륵송계로 105,43,43130,128.0161694,36.84169303,충북,전통 꿩요리 B코스(2인이상),30000,2021-12-31
이문 설농탕,서울특별시 종로구 견지동 88,11,11110,126.98389,37.572738,서울,설렁탕,,2021-12-31
하얀집,전라남도 나주시 중앙동 48-17,46,46170,126.717027,35.032266,전남,"곰탕,수육",,2021-12-31
내호냉면,부산광역시 남구 우암2동 189-571,26,26290,129.070262,35.126713,부산,함흥냉면,,2021-12-31
박달집,부산광역시 금정구 금샘로 377,26,26410,129.084256,35.256874,부산,전통개장국,,2021-12-31
안일옥,경기도 안성시 영동 25-1,41,41550,127.272828,37.007577,경기,설렁탕,,2021-12-31
함양집,울산광역시 남구 삼산로228번길 19,31,31140,129.332848,35.536478,울산,전통비빔밥,,2021-12-31
천일식당,전라남도 해남군 해남읍 읍내리 34,46,46820,126.599225,34.570962,전남,떡갈비,,2021-12-31
형제 추어탕,서울특별시 종로구 평창동 281-1,11,11110,126.964576,37.603845,서울,추어탕,,2021-12-31
천황식당,경상남도 진주시 대안동 4-1,48,48170,128.084434,35.196078,경남,진주비빔밥,,2021-12-31
기장곰장어,부산광역시 기장군 기장읍 시랑리 572-4,26,26710,129.211368,35.185326,부산,짚불곰장어,,2021-12-31
삼대 광양 불고기집,전라남도 광양시 광양읍 칠성리 959-11,46,46230,127.5788,34.970159,전남,불고기,,2021-12-31
황산옥,충청남도 논산시 강경읍 황산리 81-16,44,44230,127.009274,36.156493,충남,생복찜,,2021-12-31
